@RELATION bites

@ATTRIBUTE xStandardDev NUMERIC
@ATTRIBUTE yStandardDev NUMERIC
@ATTRIBUTE zStandardDev NUMERIC
@ATTRIBUTE xMean NUMERIC
@ATTRIBUTE yMean NUMERIC
@ATTRIBUTE zMean NUMERIC
@ATTRIBUTE class {Bite, Non-Bite}

@DATA
1.474930987,3.097701556,1.938369253,-1.252901729,1.140533871,8.779676062,Bite
2.298431824,2.620729042,1.50374714,-3.799259795,1.533651149,8.048672061,Bite
3.274031093,3.386743143,2.677450796,-3.100672171,1.898846726,7.277011262,Bite
3.493373476,2.950603965,2.298294378,-3.265856719,0.891830091,7.699279875,Bite
3.064015829,2.983015107,2.406980176,-3.083798067,1.269870411,7.848044354,Bite
3.257143605,3.213676747,2.677553623,-3.655701318,1.781371233,7.099776433,Bite
3.602462721,2.849035845,2.963444774,-5.128839221,1.938759222,6.00968655,Bite
3.837373227,2.631657548,2.937734375,-3.705491279,0.848396335,7.216968207,Bite
3.729008623,2.851059477,2.953908694,-4.717504734,1.251709945,6.44631597,Bite
3.558668256,2.934855481,2.804110473,-3.989983592,1.660904111,7.0043611,Bite
3.610146156,2.809572621,2.917190187,-4.899239106,1.783584546,6.314393169,Bite
1.5531048,2.167470562,1.388811193,-1.70616406,0.642570072,9.189596894,Bite
1.572712037,2.490286481,1.412951094,-0.225124896,0.91334161,9.189064809,Bite
1.644174705,2.470442671,1.465720832,-0.734915047,0.524577965,9.026982648,Bite
0.678589577,2.530991718,1.444844663,-0.125912546,0.358971839,9.286807023,Bite
1.160373684,2.820539286,1.67027678,-1.143201182,1.069348635,9.023480309,Bite
1.764200648,3.089855742,2.290472577,-1.691874197,1.241948698,8.691370877,Bite
1.379113893,2.844369381,1.811532387,-1.353181525,1.022888095,8.99896369,Bite
1.656560195,2.73444509,2.132139134,-2.583950215,1.631036635,8.383664545,Bite
1.861663655,3.282464014,2.517888513,-2.909889996,2.256502469,7.891240283,Bite
3.145472776,1.74239782,2.014409649,-2.202955055,0.267776042,8.670168498,Bite
3.209837436,2.038628778,2.99883753,-5.355823411,1.633987714,6.594669702,Bite
3.806837819,1.841379792,3.154632914,-4.883499976,0.931026437,6.907483718,Bite
3.819616401,1.842136805,3.280318675,-3.929061716,1.155822698,7.20952248,Bite
3.621580046,2.035065863,2.708612437,-4.089995839,0.84854766,7.530690224,Bite
3.790347526,1.827168981,3.348235173,-5.380815675,1.53812642,6.072145559,Bite
3.633712631,1.640689555,3.059350222,-3.932972705,0.968601305,7.402853503,Bite
3.81943301,1.536077833,3.768317048,-4.873511759,1.275621237,6.368269247,Bite
3.726529674,2.039817875,2.547087785,-2.657632503,0.554045479,8.107436263,Bite
3.617505077,1.861716115,2.882965058,-3.953403222,0.944473826,7.460253597,Bite
4.165551157,1.606433054,4.060247229,-5.266852272,1.116051293,5.667154302,Bite
2.4691439055365554,1.515840546619239,2.5061277855781507,3.859385869265357,5.5762392976616,6.357771463880811,Non-Bite
2.308947755392996,2.9435215986357455,2.381245444013414,2.655665107899242,5.213263739252256,6.883875057432387,Non-Bite
2.5611069004048175,2.8704369341625693,2.961566009615843,2.3495099769284327,6.097526972844369,5.720243361261156,Non-Bite
3.4356715725847438,2.4289509558891798,3.3647835351249102,3.0231118544315296,5.9660149872303005,5.000483673148685,Non-Bite
2.3316187219117976,2.508666427441513,2.2336036149550993,1.364214028865099,6.8694223385676745,5.590335539579391,Non-Bite
2.3377257645841962,2.4380160424844988,2.1030019468627863,-3.4936191832114543,2.1965729213186673,8.02861122403826,Non-Bite
0.6977556236845716,0.626544572595643,0.4121291807379752,-0.9844787358492613,-0.21261362927034497,9.803245244026185,Non-Bite
3.403171366005987,2.8652574109576956,2.538853034741452,-0.27876310714830954,0.6277845318894834,9.174098686377208,Non-Bite
2.0618387396107356,3.6947551865520394,4.534058997314555,2.4978892260391,5.26281983856902,6.023908346176449,Non-Bite
